Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,word_count
222,10,42,3,Has anyone seen a toad? A boy named Neville's lost one.,11
224,10,42,3,"Oh, are you doing magic? Let's see then.",8
226,10,42,3,"Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...  Oculus Reparo.  That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?",48
228,10,42,3,"Pleasure. You two better change into your robes. I expect we'll be arriving soon.  You've got dirt, on your nose, by the way, did you know? Just there.",28
241,12,36,3,"It's not real, the ceiling. It's just bewitched to look like the night sky. I read about it in Hogwarts: A History.",22
245,12,36,3,"Oh, no. Okay, relax.",4
282,13,36,3,Nearly headless? How can you be nearly headless?,8
317,14,36,3,"I've read about those. When the smoke turns red,  it means you've forgotten something.",14
327,15,52,3,Up. Up. Up. Up.,4
353,15,52,3,"Harry, no way! You heard what Madam Hooch said! Besides, you don't even know how to fly.  What an idiot.",20
375,15,63,3,You won't make a fool of yourself. It's in your blood.,11
382,16,59,3,"The staircases change, remember?",4
386,16,59,3,We're not supposed to be here. This is the 3rd floor. It's forbidden.,13
393,16,59,3,"Oh, move over!  Alohomora.  Get in.",6
395,16,59,3,"Standard book of spells, Chapter 7.",6
403,16,59,3,"You don't use your eyes, do you? Didn't you see what it was standing on?",15
405,16,59,3,It was standing on a trap door. Which means it wasn't there by accident. It's guarding something.,17
407,16,59,3,"That's right. Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed... or worse, expelled!",29
424,17,26,3,"Stop, stop, stop. You're going to take someone's eye out. Besides, you're saying it wrong. It's Levi-o-sa, not Leviosar.",19
463,18,34,3,"It's my fault, Professor McGonagall.",5
465,18,34,3,I went looking for the troll. I'd read about them and thought I could handle it. But I was wrong. If Harry and Ron hadn't come and found me...I'd probably be dead.,32
473,19,36,3,"Ron's right, Harry. You're gonna need your strength today.",9
479,19,36,3,But why would anyone go near that dog?,8
483,19,36,3,"Bit early for mail, isn't it?",6
513,20,51,3,It's Snape! He's jinxing the broom!,6
515,20,51,3,Leave it to me.,4
533,21,40,3,That thing has a name?,5
539,21,40,3,"Hogwarts teacher or not, I know a spell when I see one. I've read all about them. You've got to keep eye contact and Snape wasn't blinking.",27
553,21,39,3,"Good, you can help Harry, then. He's going to go and look in the library for information on Nicholas Flamel.",20
555,21,39,3,Not in the restricted section. Happy Christmas.,7
600,24,44,3,Look at you playing with your cards. Pathetic! We've got final exams coming up soon.,15
